league,team_id,team,player_id,player,position_id,position,status,injury_id,date,short_description,injury_type,injury_location,injury_detail,injury_side,return_date
mlb,1,Baltimore Orioles,id,Franklin Barreto,7,LF,Day-To-Day,-143479,2025-03-30T06:31Z,"The Orioles reassigned Barreto to minor-league camp Monday, Jake Rill of MLB.com reports.",Undisclosed,,Not Specified,Not Specified,2025-07-18
mlb,1,Baltimore Orioles,id,Levi Stoudt,15,SP,Day-To-Day,-143455,2025-03-30T06:19Z,"The Orioles outrighted Stoudt to Double-A Bowie on Wednesday after he cleared waivers, Roch Kubatko of MASNSports.com reports.",Undisclosed,,Not Specified,Not Specified,2025-05-13
mlb,2,Boston Red Sox,id,Walker Buehler,15,SP,15-Day-IL,962031,2025-05-10T21:24Z,"Manager Alex Cora said Saturday that Buehler (shoulder) will likely return during the Red Sox's home series against the Mets that begins May 19, Chris Cotillo of MassLive.com reports.",Shoulder,,Inflammation,Right,2025-05-20
mlb,2,Boston Red Sox,id,Rob Refsnyder,9,RF,Day-To-Day,962030,2025-05-10T21:14Z,"Red Sox manager Alex Cora said Saturday that Refsnyder is day-to-day due to back spasms, Chris Cotillo of MassLive.com reports.",Back,,Spasms,Not Specified,2025-05-13
mlb,2,Boston Red Sox,id,Romy Gonzalez,3,1B,10-Day-IL,962010,2025-05-10T19:43Z,Gonzalez (back) was placed  on the 10-day injured list Saturday.,Back,,Soreness,Not Specified,2025-05-18
mlb,2,Boston Red Sox,id,Kutter Crawford,15,SP,15-Day-IL,961749,2025-05-09T11:00Z,"Crawford (knee) threw a live bullpen session Tuesday and will do so again Friday, MLB.com reports.",Knee,,Tendinitis,Right,2025-06-15
mlb,2,Boston Red Sox,id,Seby Zavala,2,C,Day-To-Day,961644,2025-05-08T14:02Z,"Zavala, who is on Triple-A Worcester's 7-day injured list due to a left oblique strain, began a rehab assignment in the rookie-level Florida Complex League on Monday and went 1-for-3 with a double and a walk in his first game.",Oblique,,Strain,Left,2025-05-13
mlb,2,Boston Red Sox,id,Richard Fitts,15,SP,15-Day-IL,961512,2025-05-07T20:50Z,"Red Sox manager Alex Cora said Wednesday that Fitts (pectoral) will throw another bullpen session Thursday, Gabrielle Starr of the Boston Herald reports.",Pectoral,,Strain,Right,2025-05-22
mlb,2,Boston Red Sox,id,Masataka Yoshida,7,LF,10-Day-IL,961232,2025-05-06T19:17Z,"Yoshida (shoulder) said Tuesday that he received a cortisone shot a few days ago and will remain shut down from throwing for three more days, Jen McCaffrey of The Athletic reports.",Shoulder,,Surgery,Right,2025-06-01
mlb,2,Boston Red Sox,id,Triston Casas,3,1B,10-Day-IL,960865,2025-05-04T19:26Z,"Casas underwent successful surgery Sunday to repair the ruptured patellar tendon in his left knee, Chris Cotillo of MassLive.com reports.",Knee,,Surgery,Left,2026-03-26
mlb,2,Boston Red Sox,id,Zach Penrod,0,RP,60-Day-IL,-142917,2025-03-27T17:19Z,"The Red Sox placed Penrod on the 60-day injured list Thursday with a left elbow UCL sprain, Mac Cerullo of the Boston Herald reports.",Elbow,,Sprain,Left,2025-05-30
mlb,2,Boston Red Sox,id,Chris Murphy,0,RP,60-Day-IL,-142912,2025-03-27T17:16Z,"Murphy (elbow) was thrown two bullpen sessions early this spring, Christopher Smith of MassLive reports.",Elbow,,Surgery,Left,2025-06-01
mlb,2,Boston Red Sox,id,Jovani Moran,0,RP,Day-To-Day,-138473,2025-02-27T01:20Z,"The Twins traded Moran (elbow) to the Red Sox on Tuesday in exchange for Mickey Gasper, Chris Cotillo of MassLive.com reports.",Elbow,,Surgery,Left,2025-06-01
mlb,2,Boston Red Sox,id,Patrick Sandoval,15,SP,60-Day-IL,949811,2025-02-17T15:07Z,The Red Sox placed Sandoval (elbow) on the 60-day injured list Saturday.,Elbow,,Surgery,Left,2025-08-01
mlb,16,Chicago Cubs,id,Ian Happ,7,LF,Day-To-Day,962406,2025-05-12T21:03Z,Happ (oblique) remains out of the lineup for Monday's game against the Marlins.,Oblique,,Soreness,Not Specified,2025-05-13
mlb,16,Chicago Cubs,id,Eli Morgan,0,RP,60-Day-IL,-150557,2025-05-10T19:45Z,"The Cubs transferred Morgan (elbow) to the 60-day injured list Saturday, Taylor McGregor of Marquee Sports Network reports.",Elbow,,Pinched Nerve,Right,2025-06-14
mlb,16,Chicago Cubs,id,Ryan Brasier,0,RP,15-Day-IL,961438,2025-05-07T15:31Z,"Brasier (groin) will begin a rehab assignment with Triple-A Iowa on Wednesday, Maddie Lee of the Chicago Sun-Times reports.",Groin,,Strain,Left,2025-05-16
mlb,16,Chicago Cubs,id,Shota Imanaga,15,SP,15-Day-IL,961130,2025-05-06T02:31Z,"Imanaga has been diagnosed with a mild left hamstring strain that is expected to hold him out for more than two weeks, Bruce Levine of 670TheScore.com reports.",Hamstring,,Strain,Left,2025-05-27
mlb,16,Chicago Cubs,id,Javier Assad,15,SP,60-Day-IL,-148821,2025-04-30T20:00Z,"Cubs manager Craig Counsell said Friday that Assad has been shut down after being diagnosed with a Grade 2 left oblique strain, Jordan Bastian of MLB.com reports.",Oblique,,Strain,Left,2025-06-12
mlb,16,Chicago Cubs,id,Justin Steele,15,SP,60-Day-IL,-147611,2025-04-23T20:04Z,"The Cubs transferred Steele (elbow) to the 60-day injured list Wednesday, Sahadev Sharma of The Athletic reports.",Elbow,,Surgery,Left,2026-04-15
mlb,16,Chicago Cubs,id,Tyson Miller,0,RP,15-Day-IL,957652,2025-04-17T21:32Z,Miller (hip) struck out two over a scoreless inning during a rehab appearance with Triple-A Iowa on Tuesday.,Hip,,Pinched Nerve,Left,2025-05-13
mlb,16,Chicago Cubs,id,Ben Heller,0,RP,Day-To-Day,-143080,2025-03-27T20:17Z,"The Cubs signed Heller to a minor-league contract Monday, Andrew Destin of the Pittsburgh Post-Gazette reports.",Undisclosed,,Not Specified,Not Specified,2026-02-01
mlb,16,Chicago Cubs,id,Brandon Birdsell,0,RP,Day-To-Day,-138437,2025-02-26T19:41Z,"Cubs manager Craig Counsell said Monday that Birdsell is dealing with an injury to his right shoulder/lat area, Meghan Montemurro of the Chicago Tribune reports.",Lat,,Not Specified,Right,2025-06-01
mlb,4,Chicago White Sox,id,Austin Slater,9,RF,10-Day-IL,962380,2025-05-12T18:48Z,"Slater (knee) will begin a rehab assignment with Triple-A Charlotte on Tuesday, Kyle Williams of the Chicago Sun-Times reports.",Knee,,Surgery,Right,2025-05-19
mlb,4,Chicago White Sox,id,Luis Robert Jr.,8,CF,Day-To-Day,962179,2025-05-11T16:48Z,Robert (knee) is out of the lineup for Sunday's game against the Marlins.,Knee,,Soreness,Right,2025-05-13
mlb,4,Chicago White Sox,id,Miguel Vargas,5,3B,Day-To-Day,-150731,2025-05-11T16:48Z,"Vargas is not in Saturday's lineup against the Marlins, Vinnie Duber of AllCHGO.com reports.",Calf,,Not Specified,Right,2025-05-13
mlb,4,Chicago White Sox,id,Jesse Scholtens,0,RP,60-Day-IL,961765,2025-05-09T13:45Z,"Scholtens (elbow) made his first rehab appearance with High-A Winston-Salem on Tuesday, MLB.com reports.",Elbow,,Surgery,Right,2025-06-23
mlb,4,Chicago White Sox,id,Brandon Drury,4,2B,Day-To-Day,-150332,2025-05-09T03:33Z,The White Sox re-signed Drury (thumb) to a minor-league contract Tuesday.,Thumb,,Fracture,Left,2025-05-16
mlb,4,Chicago White Sox,id,Mike Tauchman,9,RF,10-Day-IL,961677,2025-05-08T18:36Z,"Tauchman (hamstring) will begin a rehab assignment with Triple-A Charlotte on Saturday, Scott Merkin of MLB.com reports.",Hamstring,,Strain,Right,2025-05-16
mlb,4,Chicago White Sox,id,Korey Lee,2,C,10-Day-IL,961675,2025-05-08T18:32Z,"Lee (ankle) will begin a rehab assignment with Triple-A Charlotte on Friday, Scott Merkin of MLB.com reports.",Ankle,,Sprain,Left,2025-05-13
mlb,4,Chicago White Sox,id,Andrew Benintendi,7,LF,10-Day-IL,-150129,2025-05-07T20:57Z,Benintendi (calf) remains out of the lineup for Wednesday's game in Kansas City.,Calf,,Strain,Left,2025-05-15
mlb,4,Chicago White Sox,id,Fraser Ellard,0,RP,15-Day-IL,960835,2025-05-04T17:18Z,The White Sox placed Ellard on the 15-day injured list Sunday due to a left lat strain.,Lat,,Strain,Left,2025-05-19
mlb,4,Chicago White Sox,id,Martin Perez,15,SP,60-Day-IL,959595,2025-04-28T17:36Z,"White Sox manager Will Venable said last Tuesday that he anticipates Perez (elbow) returning from the 60-day injured list at some point in September, ESPN.com reports. ""He's continuing to get evaluated,"" Venable said of Perez, who was diagnosed last week with a flexor tendon strain in his left elbow. ""We're going to treat him and expect him to pitch later on in the summer.""",Elbow,,Strain,Left,2025-09-15
mlb,4,Chicago White Sox,id,Mason Adams,0,RP,Day-To-Day,954744,2025-04-02T20:07Z,"The White Sox announced that Adams underwent successful Tommy John surgery Wednesday, Scott Merkin of MLB.com reports.",Elbow,,Surgery,Right,2026-07-01
mlb,4,Chicago White Sox,id,Drew Thorpe,15,SP,60-Day-IL,953556,2025-03-27T16:31Z,The White Sox placed Thorpe (elbow) on the 60-day injured list Thursday.,Elbow,,Surgery,Right,2026-05-01
mlb,4,Chicago White Sox,id,Prelander Berroa,0,RP,60-Day-IL,-142254,2025-03-23T21:34Z,"Berroa (elbow) needs Tommy John surgery, James Fegan of SoxMachine.com reports.",Elbow,,Surgery,Right,2026-05-01
mlb,4,Chicago White Sox,id,Ky Bush,15,SP,60-Day-IL,-137673,2025-02-17T19:35Z,"Bush will undergo Tommy John surgery on his left elbow Wednesday, Scott Merkin of MLB.com reports.",Elbow,,Surgery,Left,2026-04-01
mlb,4,Chicago White Sox,id,Edgar Navarro,0,RP,Day-To-Day,-109173,2024-04-05T18:41Z,"Navarro will undergo Tommy John surgery in March, Scott Merkin of MLB.com reports.",Elbow,,Surgery,Right,2025-07-01
mlb,17,Cincinnati Reds,id,Rhett Lowder,15,SP,15-Day-IL,962343,2025-05-12T13:38Z,Lowder (forearm) gave up five runs (four earned) on five hits and one walk while striking out five over three innings in his rehab start Sunday with High-A Dayton.,Forearm,,Strain,Right,2025-05-21
mlb,17,Cincinnati Reds,id,Wade Miley,15,SP,Day-To-Day,962322,2025-05-12T12:01Z,Miley (elbow) allowed three runs on three hits and struck out six over 2.2 innings in a rehab start at High-A Dayton on Saturday.,Elbow,,Surgery,Left,2025-05-26
mlb,17,Cincinnati Reds,id,Ian Gibaut,0,RP,15-Day-IL,962321,2025-05-12T11:53Z,Gibault (shoulder) struck out two over one inning for Triple-A Louisville on Sunday.,Shoulder,,Pinched Nerve,Right,2025-05-16
mlb,17,Cincinnati Reds,id,Sam Moll,0,RP,15-Day-IL,962131,2025-05-11T13:42Z,Moll (shoulder) has allowed five runs on eight hits and three walks while striking out nine over seven innings across seven appearances while on a rehab assignment with Triple-A Louisville.,Shoulder,,Pinched Nerve,Left,2025-05-13
mlb,17,Cincinnati Reds,id,Jake Fraley,9,RF,10-Day-IL,-150539,2025-05-10T18:03Z,"Reds manager Terry Francona on Friday discussed the idea of placing Fraley (calf) on the 10-day injured list, Jeremy Rakes of MLB.com reports. ""We talked to Jake and we were like, 'We appreciate you trying to push this,' but what are the chances he plays tonight and he doesn't feel good tomorrow?"" Francona said. ""So if we IL him [Saturday], we can push it back three days.""",Calf,,Soreness,Left,2025-05-17
mlb,17,Cincinnati Reds,id,Tyler Callihan,4,2B,60-Day-IL,-150477,2025-05-10T01:07Z,The Reds placed Callihan on the 10-day injured list Tuesday with a fractured left forearm.,Forearm,,Fracture,Left,2025-08-11
mlb,17,Cincinnati Reds,id,Hunter Greene,15,SP,15-Day-IL,-150415,2025-05-09T20:12Z,"Greene suffered a Grade 1 right groin strain during his start Wednesday against Atlanta, Gordon Wittenmyer of The Cincinnati Enquirer reports.",Groin,,Strain,Right,2025-05-24
mlb,17,Cincinnati Reds,id,Christian Encarnacion-Strand,3,1B,10-Day-IL,961535,2025-05-07T21:37Z,"Reds manager Terry Francona said Wednesday that Encarnacion-Strand (back) is ""continuing to take steps"" forward in his recovery process and could begin ramping up his baseball activities next week, Charlie Goldsmith of the Dayton Daily News reports.",Back,,Inflammation,Not Specified,2025-05-23
mlb,17,Cincinnati Reds,id,Jeimer Candelario,5,3B,10-Day-IL,961533,2025-05-07T21:32Z,"Reds manager Terry Francona said Wednesday that Candelario (spine) received an epidural to address his lumbar strain, Charlie Goldsmith of the Dayton Daily News reports.",Back,,Strain,Not Specified,2025-05-26
mlb,17,Cincinnati Reds,id,Noelvi Marte,5,3B,10-Day-IL,961531,2025-05-07T21:28Z,"Reds manager Terry Francona said that Marte's placement on injured list Wednesday was due to a Grade 2 left oblique strain, Charlie Goldsmith of the Dayton Daily News reports.",Oblique,,Strain,Left,2025-05-20
mlb,17,Cincinnati Reds,id,Josh Staumont,0,RP,Day-To-Day,-147724,2025-04-24T03:37Z,The Reds reassigned Staumont to minor-league camp Saturday.,Undisclosed,,Not Specified,Not Specified,2026-02-01
mlb,17,Cincinnati Reds,id,Alex Young,0,RP,Day-To-Day,-147721,2025-04-24T03:31Z,"Young traveled back to Cincinnati to be examined by the Reds' orthopedist to determine whether he needs Tommy John surgery, Gordon Wittenmyer of The Cincinnati Enquirer reports.",Elbow,,Not Specified,Left,2025-06-01
mlb,17,Cincinnati Reds,id,Carson Spiers,15,SP,15-Day-IL,958120,2025-04-20T13:51Z,"The Reds placed Spiers on the 15-day injured list Sunday due to a right shoulder impingement, Charlie Goldsmith of the Dayton Daily News reports.",Shoulder,,Pinched Nerve,Right,2025-05-30
mlb,17,Cincinnati Reds,id,Cam Collier,5,3B,Day-To-Day,-143078,2025-03-27T20:17Z,"Reds manager Terry Francona announced that Collier is scheduled to have surgery Thursday on his injured left thumb, Pat Brennan of The Cincinnati Enquirer reports. Collier is expected to resume hitting in 4-to-6 weeks.",Thumb,,Surgery,Left,2025-06-01
mlb,17,Cincinnati Reds,id,Brandon Williamson,15,SP,60-Day-IL,-142660,2025-03-26T19:11Z,The Reds transferred Williamson (elbow) to the 60-day injured list Tuesday.,Elbow,,Surgery,Left,2026-02-01
mlb,17,Cincinnati Reds,id,Julian Aguiar,15,SP,60-Day-IL,-137532,2025-02-13T15:56Z,"Aguiar will miss the entire 2025 season after undergoing Tommy John surgery, Mark Sheldon of MLB.com reports.",Elbow,,Surgery,Right,2026-02-01
mlb,5,Cleveland Guardians,id,Ben Lively,15,SP,Day-To-Day,-151040,2025-05-12T23:51Z,,Forearm,,Inflammation,Right,2025-05-18
mlb,5,Cleveland Guardians,id,David Fry,3,1B,60-Day-IL,962427,2025-05-12T21:53Z,"Guardians manager Stephen Vogt said Monday that Fry (elbow) is set to begin playing in rehab games in the rookie-level Arizona Complex League this week, Tim Stebbins of MLB.com reports.",Elbow,,Surgery,Right,2025-05-26
mlb,5,Cleveland Guardians,id,Lane Thomas,8,CF,10-Day-IL,962423,2025-05-12T21:48Z,"Guardians manager Stephen Vogt confirmed that Thomas (wrist) will begin a rehab assignment with Triple-A Columbus this week, Tim Stebbins of MLB.com reports.",Wrist,,Bruise,Right,2025-05-19
mlb,5,Cleveland Guardians,id,Slade Cecconi,15,SP,15-Day-IL,962326,2025-05-12T12:28Z,Cecconi (oblique) allowed two runs on six hits while striking out three over 5.2 innings for Triple-A Columbus on Sunday.,Oblique,,Strain,Left,2025-05-16
mlb,5,Cleveland Guardians,id,Paul Sewald,0,RP,15-Day-IL,961176,2025-05-06T13:04Z,"Sewald (shoulder) will be rechecked at two-week intervals to determine progress and readiness to begin a throwing program, MLB.com reports.",Shoulder,,Strain,Right,2025-06-01
mlb,5,Cleveland Guardians,id,Chase DeLauter,9,RF,Day-To-Day,961114,2025-05-06T00:02Z,DeLauter (abdomen) was added to the Guardian's Arizona Complex League roster Monday for a rehab assignment.,Abdomen,,Surgery,Not Specified,2025-05-31
mlb,5,Cleveland Guardians,id,Shane Bieber,15,SP,60-Day-IL,960799,2025-05-04T15:03Z,"Bieber (elbow) threw a live batting practice session Friday, MLB.com reports.",Elbow,,Surgery,Right,2025-07-01
mlb,5,Cleveland Guardians,id,Trevor Stephan,0,RP,60-Day-IL,959582,2025-04-28T16:29Z,"Guardians manager Stephen Vogt said Sunday that Stephan (elbow) is ""progressing well"" and is expected to return to game activity at the organization's spring training complex in Arizona at some point in May, Michael Beaven of the Akron Beacon Journal reports.",Elbow,,Surgery,Right,2025-05-26
mlb,5,Cleveland Guardians,id,Erik Sabrowski,0,RP,60-Day-IL,-148079,2025-04-26T14:37Z,The Guardians placed Sabrowski (elbow) on the 15-day injured list Thursday.,Elbow,,Inflammation,Left,2025-05-26
mlb,5,Cleveland Guardians,id,John Means,15,SP,60-Day-IL,-145096,2025-04-08T17:47Z,The Guardians placed Means (elbow) on the 15-day injured list Thursday.,Elbow,,Surgery,Left,2025-09-01
mlb,5,Cleveland Guardians,id,Jack Leftwich,0,RP,Day-To-Day,-144855,2025-04-07T18:27Z,no,Undisclosed,,Not Specified,Not Specified,2025-06-05
mlb,5,Cleveland Guardians,id,George Valera,9,RF,Day-To-Day,-143333,2025-03-29T15:29Z,Valera (knee) began taking batting practice this week.,Knee,,Surgery,Right,2025-05-15
mlb,5,Cleveland Guardians,id,Sam Hentges,0,RP,60-Day-IL,949886,2025-02-18T15:19Z,The Guardians placed Hentges (shoulder) on the 60-day injured list Sunday.,Shoulder,,Surgery,Left,2026-02-01
mlb,27,Colorado Rockies,id,Aaron Schunk,4,2B,10-Day-IL,962361,2025-05-12T16:46Z,"Schunk (groin) made starts at third base and second base during his rehab assignment with Triple-A Albuquerque over the weekend, going 2-for-7 with a home run and two RBI.",Groin,,Strain,Left,2025-05-16
mlb,27,Colorado Rockies,id,Ezequiel Tovar,6,SS,10-Day-IL,962360,2025-05-12T16:41Z,Tovar (hip) played nine innings at shortstop and went 1-for-3 with a walk and a run scored in his rehab appearance Sunday with Triple-A Albuquerque.,Hip,,Bruise,Left,2025-05-16
mlb,27,Colorado Rockies,id,Kris Bryant,9,RF,60-Day-IL,-150776,2025-05-11T18:25Z,The Rockies transferred Bryant (back) from the 10-day injured list to the 60-day IL on Sunday.,Back,,Surgery,Not Specified,2025-07-01
mlb,27,Colorado Rockies,id,Austin Nola,2,C,Day-To-Day,-150645,2025-05-11T04:57Z,"Nola signed a minor-league deal Sunday that includes an invitation to spring training with the Rockies, Ari Alexander of KPRC 2 Houston reports.",Undisclosed,,,,2025-05-20
mlb,27,Colorado Rockies,id,Thairo Estrada,4,2B,60-Day-IL,961764,2025-05-09T13:34Z,"Estrada (wrist) has resumed fielding drills and running the bases this week, MLB.com reports.",Wrist,,Fracture,Right,2025-05-26
mlb,27,Colorado Rockies,id,Victor Vodnik,0,RP,15-Day-IL,961756,2025-05-09T13:09Z,"Vodnik (shoulder) is throwing from 90 feet, MLB.com reports.",Shoulder,,Inflammation,Right,2025-05-30
mlb,27,Colorado Rockies,id,Tyler Freeman,4,2B,10-Day-IL,961671,2025-05-08T16:43Z,"Freeman (oblique) will begin a rehab assignment with Triple-A Albuquerque this weekend, Patrick Lyons of JustBaseball.com reports.",Oblique,,Strain,Left,2025-05-13
mlb,27,Colorado Rockies,id,Austin Gomber,15,SP,60-Day-IL,961012,2025-05-05T14:33Z,"Gomber (shoulder) has increased the volume and distance of his throws, MLB.com reports.",Shoulder,,Inflammation,Left,2025-06-16
mlb,27,Colorado Rockies,id,Ryan Feltner,15,SP,15-Day-IL,960497,2025-05-02T21:39Z,"The Rockies placed Feltner (back) on the 15-day injured list Friday, retroactive to April 29.",Back,,Spasms,,2025-05-14
mlb,27,Colorado Rockies,id,Jeff Criswell,0,RP,60-Day-IL,-146119,2025-04-14T22:57Z,The Rockies placed Criswell (elbow) on the 15-day injured list Thursday.,Elbow,,Surgery,Right,2026-06-01
